video_title,channel,published_at,video_url,trend_score,country,proxy_region,signal_source,confidence,collected_at
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,100,Nigeria,ZA,youtube,medium,2026-02-09T05:15:53.786153
Ram Vs Shyam! Best Smartwatch in sale #shorts,Shreemani Tripathi,2025-09-30T13:55:22Z,https://www.youtube.com/watch?v=scMlS46c0sQ,90,Nigeria,ZA,youtube,medium,2026-02-09T05:15:53.786153
Don&#39;t Miss⚡️Top 5 Best Smartwatch Under 2000 In Feb 2026⚡️Best Smartwatch Under 1500 - 2000,Techarsh,2026-02-07T06:37:00Z,https://www.youtube.com/watch?v=g8owCw95Zug,80,Nigeria,ZA,youtube,medium,2026-02-09T05:15:53.786153
Xiaomi Smart Band 9 Unboxing,Daniel Sin,2024-09-30T22:38:10Z,https://www.youtube.com/watch?v=JPa1zuVPY_M,70,Nigeria,ZA,youtube,medium,2026-02-09T05:15:53.786153
TOP 5 ⚡Best Smartwatch Under ₹1000 in India 🔥| Best Smart watch under 1000 🔥 #smartwatch,Smart Supporter,2025-09-13T08:50:54Z,https://www.youtube.com/watch?v=CByvayo_2Wk,60,Nigeria,ZA,youtube,medium,2026-02-09T05:15:53.786153
🤑 பட்ஜெட்ல ஒரு நல்ல Watch வாங்கணுமா...❓️✨️#redmi #smartwatch #shorts,Tamil Tech - MrTT,2025-04-25T12:16:12Z,https://www.youtube.com/watch?v=-UCIKmbhTdM,100,Ghana,ZA,youtube,medium,2026-02-09T05:15:53.786153
Ram Vs Shyam! Best Smartwatch in sale #shorts,Shreemani Tripathi,2025-09-30T13:55:22Z,https://www.youtube.com/watch?v=scMlS46c0sQ,90,Ghana,ZA,youtube,medium,2026-02-09T05:15:53.786153
Don&#39;t Miss⚡️Top 5 Best Smartwatch Under 2000 In Feb 2026⚡️Best Smartwatch Under 1500 - 2000,Techarsh,2026-02-07T06:37:00Z,https://www.youtube.com/watch?v=g8owCw95Zug,80,Ghana,ZA,youtube,medium,2026-02-09T05:15:53.786153
Xiaomi Smart Band 9 Unboxing,Daniel Sin,2024-09-30T22:38:10Z,https://www.youtube.com/watch?v=JPa1zuVPY_M,70,Ghana,ZA,youtube,medium,2026-02-09T05:15:53.786153
TOP 5 ⚡Best Smartwatch Under ₹1000 in India 🔥| Best Smart watch under 1000 🔥 #smartwatch,Smart Supporter,2025-09-13T08:50:54Z,https://www.youtube.com/watch?v=CByvayo_2Wk,60,Ghana,ZA,youtube,medium,2026-02-09T05:15:53.786153
